project,date_trunc,usd_volume
Kyber,2021-05-04T00:00:00+00:00,15932395.8686633579685
airswap,2021-05-06T00:00:00+00:00,3849166.04246098163313
Kyber,2021-05-13T00:00:00+00:00,12705234.8943565927165
airswap,2021-05-09T00:00:00+00:00,7875349.5993919265947
Balancer,2021-05-14T00:00:00+00:00,158257154.17829316550348
Sushiswap,2021-05-05T00:00:00+00:00,453851550.4604888163622815924676
Futureswap,2021-04-24T00:00:00+00:00,
Synthetix,2021-05-18T00:00:00+00:00,43652059.53379969098194625608
dodo,2021-05-10T00:00:00+00:00,43579602.513755995108
Synthetix,2021-05-21T00:00:00+00:00,66307755.961326768592041793190000
Mooniswap,2021-05-21T00:00:00+00:00,344322.6788603867745
Uniswap,2021-05-11T00:00:00+00:00,2736694045.84045596637712462289
Sushiswap,2021-04-26T00:00:00+00:00,401748233.90455827122501809632
Tokenlon,2021-05-18T00:00:00+00:00,70595993.523968292782
Futureswap,2021-04-30T00:00:00+00:00,
dodo,2021-04-28T00:00:00+00:00,23302519.0562211294942
Synthetix,2021-04-30T00:00:00+00:00,11115345.08276385471587628923
Bancor Network,2021-05-02T00:00:00+00:00,56448767.02282612013309680667
1inch LP,2021-04-27T00:00:00+00:00,8136.9825896072
Uniswap,2021-04-30T00:00:00+00:00,1091190373.44549221494266365797099
Synthetix,2021-05-14T00:00:00+00:00,85252511.42956349352044300012
dYdX,2021-05-17T00:00:00+00:00,65662089.281686833183
Tokenlon,2021-04-24T00:00:00+00:00,39114048.270166139436
dodo,2021-05-17T00:00:00+00:00,94421981.477359299010
0x Native,2021-05-05T00:00:00+00:00,278775681.05795854959627
Uniswap,2021-05-03T00:00:00+00:00,1689422615.089010454701498809521994
LINKSWAP,2021-05-15T00:00:00+00:00,110684.3640099721970
Uniswap,2021-04-24T00:00:00+00:00,1010614436.03459957015458954012258
dYdX,2021-05-20T00:00:00+00:00,40169424.156674529070988
dodo,2021-05-07T00:00:00+00:00,34046747.1770939317265
Bancor Network,2021-05-23T00:00:00+00:00,303972855.25310846160647
airswap,2021-04-30T00:00:00+00:00,3606118.9304368953363
dodo,2021-05-08T00:00:00+00:00,47862632.359597884664
dodo,2021-05-21T00:00:00+00:00,80154952.2300420703813
Sushiswap,2021-05-15T00:00:00+00:00,525348889.46787601816862128952
Sushiswap,2021-05-14T00:00:00+00:00,589327355.84728915541796061995884
Balancer,2021-05-23T00:00:00+00:00,170321197.78774955200432
airswap,2021-05-11T00:00:00+00:00,6835749.7019295409602
LINKSWAP,2021-05-05T00:00:00+00:00,191239.8082669328009442
Synthetix,2021-05-11T00:00:00+00:00,45827506.8429773031888710
dodo,2021-05-05T00:00:00+00:00,51575095.023608592618
0x Native,2021-05-13T00:00:00+00:00,543768760.31832147977820221327001
Kyber,2021-05-23T00:00:00+00:00,15951388.5063987799288
Balancer,2021-04-28T00:00:00+00:00,141144544.67698993830967
Sushiswap,2021-05-08T00:00:00+00:00,536098060.84412010218145929106
Uniswap,2021-05-15T00:00:00+00:00,2226440919.588186513452014571762765
Mooniswap,2021-04-27T00:00:00+00:00,1829708.67143348976519
Bancor Network,2021-05-13T00:00:00+00:00,214327786.791141228117370238
0x Native,2021-05-12T00:00:00+00:00,529694769.797084412416983136730112
airswap,2021-04-25T00:00:00+00:00,603272.9657739447904
airswap,2021-04-29T00:00:00+00:00,4591719.41986269180860505028105
Curve,2021-05-03T00:00:00+00:00,190753604.31889868723783
airswap,2021-05-05T00:00:00+00:00,5264658.97673759742007
Balancer,2021-05-12T00:00:00+00:00,274480725.735162871021480
Balancer,2021-05-05T00:00:00+00:00,121164248.53451165010112
Balancer,2021-05-11T00:00:00+00:00,115300553.28594791225627
LINKSWAP,2021-05-03T00:00:00+00:00,553198.371590278121788
Tokenlon,2021-05-21T00:00:00+00:00,139610284.128621309934
LINKSWAP,2021-05-01T00:00:00+00:00,710994.03729811259505
dYdX,2021-04-29T00:00:00+00:00,28543743.544472441305
Sushiswap,2021-05-22T00:00:00+00:00,741432125.97865101859203581990
Futureswap,2021-05-17T00:00:00+00:00,
Tokenlon,2021-05-20T00:00:00+00:00,100681609.467174878433
airswap,2021-05-14T00:00:00+00:00,7169870.5912609522473
Sushiswap,2021-05-01T00:00:00+00:00,325842005.27521705673158169301
airswap,2021-05-04T00:00:00+00:00,7076850.47703233475254
Mooniswap,2021-04-24T00:00:00+00:00,311487.16074215456816
dYdX,2021-05-15T00:00:00+00:00,9096012.655696776882
Bancor Network,2021-05-18T00:00:00+00:00,198742358.22180419594465
Bancor Network,2021-05-04T00:00:00+00:00,198124059.40016789314475425
DDEX,2021-04-25T00:00:00+00:00,182.895404736
Futureswap,2021-05-05T00:00:00+00:00,
Futureswap,2021-05-01T00:00:00+00:00,
Uniswap,2021-05-04T00:00:00+00:00,1912819335.416387185698418794395367
Sushiswap,2021-05-23T00:00:00+00:00,1609552356.423038765055209106746351
airswap,2021-05-02T00:00:00+00:00,5035508.9976912820826448171
Curve,2021-05-23T00:00:00+00:00,725918559.344453654962038
airswap,2021-05-17T00:00:00+00:00,6940543.556735516825057
Bancor Network,2021-04-26T00:00:00+00:00,131802401.03297759715628106664
Mooniswap,2021-05-01T00:00:00+00:00,721604.1837484324774
LINKSWAP,2021-04-27T00:00:00+00:00,409633.26129212778004
Sushiswap,2021-05-09T00:00:00+00:00,413570782.2797935825747114043792
0x Native,2021-04-27T00:00:00+00:00,200048994.06351749172925897280
Uniswap,2021-05-23T00:00:00+00:00,3422536070.677038135723229928770398
Synthetix,2021-05-06T00:00:00+00:00,20025765.59293599927621152697
Bancor Network,2021-05-19T00:00:00+00:00,505971227.30982589299615897620
LINKSWAP,2021-05-02T00:00:00+00:00,317716.337044411653103
dodo,2021-05-12T00:00:00+00:00,44145563.087000762741
dYdX,2021-05-05T00:00:00+00:00,12908022.08025192887344
Tokenlon,2021-05-15T00:00:00+00:00,101212285.812883749290
airswap,2021-05-07T00:00:00+00:00,2225353.20669145657201
Uniswap,2021-05-19T00:00:00+00:00,5739328633.378537635242408297060004
airswap,2021-04-28T00:00:00+00:00,4883574.8480901174218
Balancer,2021-05-16T00:00:00+00:00,111062637.891742105865287
1inch LP,2021-05-17T00:00:00+00:00,14979.7972414123
0x Native,2021-04-29T00:00:00+00:00,177779308.40876862492002
Sushiswap,2021-04-24T00:00:00+00:00,332586859.53090891088748530207
dYdX,2021-05-19T00:00:00+00:00,147962604.726877805142903
dodo,2021-05-18T00:00:00+00:00,110718777.787944590748
Kyber,2021-05-06T00:00:00+00:00,10931139.200172364514898
0x Native,2021-04-28T00:00:00+00:00,257271044.38288396101860155016192
Mooniswap,2021-05-03T00:00:00+00:00,1401582.586502304889
1inch LP,2021-05-23T00:00:00+00:00,30400.8767214215
airswap,2021-05-19T00:00:00+00:00,6156298.4173610633401
Mooniswap,2021-04-26T00:00:00+00:00,2511318.37090559141823
1inch LP,2021-05-01T00:00:00+00:00,21116.3072632636
Curve,2021-05-17T00:00:00+00:00,275000180.09069766184847
dYdX,2021-05-16T00:00:00+00:00,40844580.271136314076
0x Native,2021-05-19T00:00:00+00:00,711329611.045457517432212144039674
Balancer,2021-05-19T00:00:00+00:00,315825962.031400590774726
0x Native,2021-05-06T00:00:00+00:00,295341253.468576452303354422554208
Kyber,2021-05-02T00:00:00+00:00,6741395.406142710260344
Futureswap,2021-05-10T00:00:00+00:00,
dYdX,2021-05-11T00:00:00+00:00,10623080.05353375288
airswap,2021-04-24T00:00:00+00:00,457709.0849391533046
Mooniswap,2021-04-30T00:00:00+00:00,476986.7163623904835
Kyber,2021-05-18T00:00:00+00:00,7974731.5820353409430
Bancor Network,2021-05-21T00:00:00+00:00,203019139.8852369407504
dYdX,2021-05-01T00:00:00+00:00,8957805.38187845018
Balancer,2021-04-27T00:00:00+00:00,94495577.82766727646180395
Synthetix,2021-04-29T00:00:00+00:00,9566137.90870758034342674298
Sushiswap,2021-05-13T00:00:00+00:00,1041686357.10685316515866769414
airswap,2021-05-22T00:00:00+00:00,1775877.3072518726754
Tokenlon,2021-04-28T00:00:00+00:00,74823954.028422424834
Curve,2021-05-02T00:00:00+00:00,74252409.45859478303888
LINKSWAP,2021-04-26T00:00:00+00:00,312987.553963236535789
1inch LP,2021-05-09T00:00:00+00:00,18726.8351939785
airswap,2021-05-13T00:00:00+00:00,5714229.5449445928244
Futureswap,2021-05-22T00:00:00+00:00,
Futureswap,2021-05-15T00:00:00+00:00,
dYdX,2021-05-12T00:00:00+00:00,27526576.11227719743
Futureswap,2021-05-11T00:00:00+00:00,
dodo,2021-05-13T00:00:00+00:00,89618941.045275303908
Tokenlon,2021-04-29T00:00:00+00:00,25334014.912117125354
1inch LP,2021-05-04T00:00:00+00:00,57147.0670771648
airswap,2021-05-15T00:00:00+00:00,3207707.5953948632841
Kyber,2021-04-25T00:00:00+00:00,4772416.95633508942453
dYdX,2021-04-30T00:00:00+00:00,2693738.73238800506
Curve,2021-05-13T00:00:00+00:00,287214746.600310835461
Mooniswap,2021-05-15T00:00:00+00:00,88409.1925637982597
airswap,2021-04-26T00:00:00+00:00,915264.050233177794157080427916
Kyber,2021-04-28T00:00:00+00:00,6740602.86492663200759
Futureswap,2021-05-23T00:00:00+00:00,
Uniswap,2021-04-27T00:00:00+00:00,1218247233.25233958721607920949339
airswap,2021-05-03T00:00:00+00:00,38042140.7205063127606
Sushiswap,2021-05-07T00:00:00+00:00,443065390.3713988860298692000
Synthetix,2021-05-02T00:00:00+00:00,14316924.57250981091935244480
Bancor Network,2021-05-09T00:00:00+00:00,144760955.468785584253
1inch LP,2021-05-14T00:00:00+00:00,32289.4105293755
Sushiswap,2021-05-18T00:00:00+00:00,822854385.10842186243518374725
Bancor Network,2021-05-12T00:00:00+00:00,222349531.9936340074573653208
Sushiswap,2021-05-04T00:00:00+00:00,709486610.18247331348556054280
Curve,2021-05-21T00:00:00+00:00,416701685.262044055610163
airswap,2021-05-12T00:00:00+00:00,8168892.2514895576072
0x Native,2021-05-20T00:00:00+00:00,664258499.1933559099959649
dodo,2021-05-22T00:00:00+00:00,65990369.5050607984227853395
Curve,2021-04-26T00:00:00+00:00,232549097.78288359949410
Futureswap,2021-05-20T00:00:00+00:00,
Bancor Network,2021-05-05T00:00:00+00:00,157948707.87321485738899
